PROCEDURE_CAT;PROCEDURE_SCHEM;PROCEDURE_NAME;COLUMN_NAME;COLUMN_TYPE;DATA_TYPE;TYPE_NAME;PRECISION;LENGTH;SCALE;RADIX;NULLABLE;REMARKS
FLC_RU;dbo;nv_list_receipts;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_list_receipts;1;@from_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_list_receipts;1;@to_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_list_receipts;1;@task_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;nv_load_arhiv2;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_load_arhiv2;1;@next_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;nv_new_stat_dcs;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_new_stat_dcs;1;@task_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;nv_plansupplies1;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_plansupplies1;1;@begin_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_plansupplies1;1;@end_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_plansupplies1;1;@task_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;nv_plansupplies;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
